Categoría,Pregunta,Respuesta,Opciones
Historia,"¿En qué año se descubrió América?","1492","1492|1500|1453|1490"
Ciencia,"¿Cuál es el planeta más grande del sistema solar?","Júpiter","Marte|Saturno|Júpiter|Urano"
Geografía,"¿Cuál es el río más largo del mundo?","Amazonas","Nilo|Yangtsé|Amazonas|Mississippi"
Arte,"¿Quién pintó la Mona Lisa?","Leonardo da Vinci","Miguel Ángel|Leonardo da Vinci|Van Gogh|Picasso"
Deportes,"¿En qué deporte se utiliza una red y una raqueta?","Tenis","Tenis|Fútbol|Voleibol|Golf"
Cultura,"¿Qué país es conocido por el sushi?","Japón","Japón|China|Corea del Sur|Vietnam"
Ciencia,"¿Cómo se llama la tabla de elementos químicos?","Tabla Periódica","Tabla Periódica|Tabla de Pesos|Tabla de Elementos|Tabla de Mendeleev"
Literatura,"¿Quién escribió 'Cien años de soledad'?","Gabriel García Márquez","Pablo Neruda|Mario Vargas Llosa|Gabriel García Márquez|Jorge Luis Borges"
Geografía,"¿Cuál es la capital de Canadá?","Ottawa","Toronto|Ottawa|Montreal|Vancouver"
Historia,"¿Quién fue el primer presidente de los Estados Unidos?","George Washington","Thomas Jefferson|George Washington|John Adams|Abraham Lincoln"
Historia,"¿Quién lideró la independencia de la India?","Mahatma Gandhi","Mahatma Gandhi|Jawaharlal Nehru|Indira Gandhi|Subhas Chandra Bose"
Ciencia,"¿Qué gas respiran las plantas durante la fotosíntesis?","Dióxido de carbono","Oxígeno|Hidrógeno|Dióxido de carbono|Nitrógeno"
Geografía,"¿En qué continente se encuentra el río Nilo?","África","Asia|África|Europa|América"
Arte,"¿En qué museo se encuentra la escultura del David de Miguel Ángel?","Galería de la Academia","Louvre|Museo del Prado|Galería de la Academia|Uffizi"
Deportes,"¿Cuántos jugadores forman un equipo de baloncesto en la cancha?","5","4|5|6|7"
Cultura,"¿Cuál es el idioma oficial de Brasil?","Portugués","Español|Portugués|Inglés|Francés"
Ciencia,"¿Qué unidad mide la intensidad de corriente eléctrica?","Amperio","Voltio|Ohmio|Amperio|Watt"
Literatura,"¿Quién escribió 'Don Quijote de la Mancha'?","Miguel de Cervantes","Miguel de Cervantes|Lope de Vega|Francisco de Quevedo|Garcilaso de la Vega"
Geografía,"¿Cuál es el país más grande del mundo?","Rusia","China|Estados Unidos|Rusia|Canadá"
Historia,"¿En qué año terminó la Segunda Guerra Mundial?","1945","1939|1942|1945|1948"
Arte,"¿Qué movimiento artístico lideró Salvador Dalí?","Surrealismo","Impresionismo|Cubismo|Surrealismo|Barroco"
Ciencia,"¿Qué partícula subatómica tiene carga negativa?","Electrón","Protón|Neutrón|Electrón|Quark"
Deportes,"¿En qué año se celebraron los primeros Juegos Olímpicos modernos?","1896","1856|1896|1900|1924"
Cultura,"¿En qué país nació el tango?","Argentina","Uruguay|Argentina|Chile|Paraguay"
Geografía,"¿Cuál es la capital de Australia?","Canberra","Sídney|Melbourne|Canberra|Brisbane"
Historia,"¿Quién fue conocido como 'El Libertador' de América del Sur?","Simón Bolívar","José de San Martín|Simón Bolívar|Antonio José de Sucre|Francisco de Miranda"
Ciencia,"¿Cuál es el órgano más grande del cuerpo humano?","La piel","Hígado|Pulmones|Corazón|La piel"
Arte,"¿Quién pintó 'La última cena'?","Leonardo da Vinci","Leonardo da Vinci|Miguel Ángel|Caravaggio|Rafael"
Deportes,"¿En qué deporte destacó Michael Jordan?","Baloncesto","Fútbol|Atletismo|Baloncesto|Natación"
Cultura,"¿Qué moneda se utiliza en Japón?","Yen","Dólar|Yen|Won|Rupia"
Geografía,"¿Qué país tiene más habitantes del mundo?","China","India|China|Estados Unidos|Indonesia"
Historia,"¿Qué antigua civilización construyó Machu Picchu?","Inca","Azteca|Maya|Inca|Olmeca"
Ciencia,"¿Qué tipo de estrella es el Sol?","Enana amarilla","Gigante roja|Enana amarilla|Enana blanca|Supergigante"
Arte,"¿Qué escritor creó el personaje de Sherlock Holmes?","Arthur Conan Doyle","Agatha Christie|Arthur Conan Doyle|J.K. Rowling|Mark Twain"
Deportes,"¿Cuántos anillos tiene el logo de los Juegos Olímpicos?","5","4|5|6|7"
Cultura,"¿Cuál es el animal nacional de Australia?","Canguro","Koala|Canguro|Emú|Dingo"
